005452 030350|157764 025304  MOV (SP)+,22(R0)
005456 030350|025304 025304  MOV 56(R0),70(R0)
005464 030350|157766 005464  MOV (SP)+,177776
005470 030350|005470 025304  BIT #140000,62(R0)
005476 030350|               BNE 5522
005522 030350|157770 025304  MOV (SP)+,R0
005524 030350|155752 157772  MOV R5,-(SP)
005526 030350|157770 155752  MOV SP,R5
005530 030350|       155736  TST R0
005532 030350|               BEQ 5544
005534 030350|155736 000101  MOV (R0)+,R1
005536 030340|               BEQ 5544
005540 030340|155740 157770  MOV (R0)+,-(SP)
005542 030340|000001 020700  SOB R1,5540
005544 030340|157770 000000  MOV 2(R5),R1
005550 030340|002250 002250  MOV 177776(R1),R1
005554 030350|005554 104435  BIC #177400,R1
005560 030340|000035 157766  MOV R1,-(SP)
005562 030340|005562 005562  JSR PC,13250
013250 030340|157770 157762  MOV R5,-(SP)
013252 030350|157760 157770  MOV SP,R5
013254 030350|020700 157760  MOV R2,-(SP)
013256 030340|000000 157756  MOV R3,-(SP)
013260 030344|157760 157754  MOV R5,-(SP)
013262 030350|157760 155742  MOV 4(R5),R0
013266 030340|157760 000035  MOV 6(R5),R1
013272 030340|       000035  TST R0
013274 030340|               BLT 13542
013276 030340|000035 013276  CMP R0,#174
013302 030351|               BGT 13542
013304 030351|000035 013304  CMP R0,#1
013310 030340|               BEQ 13360
013312 030340|               BGT 13322
013322 030340|000035 013322  CMP R0,#10
013326 030340|               BEQ 13410
013330 030340|000035 013330  CMP R0,#35
013334 030344|               BNE 13550
013336 030344|               BR 13344
013344 030344|000101 157752  MOVB R1,-(SP)
013346 030340|013346 013346  JSR PC,5574
005574 030340|157760 157746  MOV R5,-(SP)
005576 030350|157744 157760  MOV SP,R5
005600 030350|020700 157744  MOV R2,-(SP)
005602 030340|000000 157742  MOV R3,-(SP)
005604 030344|000000 157740  MOV R4,-(SP)
005606 030344|157744 157736  MOV R5,-(SP)
005610 030350|157744 000035  MOV 4(R5),R0
005614 030350|005614 005614  JSR PC,5644
005644 030350|020700 157732  MOV R2,-(SP)
005646 030340|005646 000101  MOV #11610,R1
005652 030340|005652 020700  MOV 177564,R2
005656 030340|000200 005656  BIT R2,#200
005662 030340|               BNE 5676
005676 030340|157501 005676  MOVB R0,177566
005702 030340|005702 011610  MOV #11610,R1
005706 030340|005706 000200  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011610 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011607 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011606 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011605 157730  SOB R1,5706
005706 030344|005706 000000  MOV 177564,R2
005712 030344|000000 005712  BIT R2,#200
005716 030344|               BNE 5732
005720 030344|011604 157730  SOB R1,5706
